SKU,supplier_note
SKU64,Carrier Carrier C performing near SLA on route Route C; watch stock levels.
SKU65,Carrier Carrier C noted handling issues; customer complaints trending up for SKU SKU65.
SKU66,Shipment flagged after QA inspection Fail; defect rate elevated at 3.4%.
SKU67,Clean inspection (Pass) for SKU SKU67; defect rate low at 0.1%.
SKU68,Carrier Carrier B performing near SLA on route Route A; watch stock levels.
SKU69,"Stock levels healthy, lead time steady at 1 days on route Route A."
SKU70,Shipment on schedule but defect rate (1.8%) worth monitoring next cycle.
SKU71,Supplier Supplier 2 within tolerance; minor variance in lead time (2 days).
SKU72,"Recurrent quality escalations from Bangalore facility, inspection result: Pending."
SKU73,Shipment flagged after QA inspection Fail; defect rate elevated at 4.6%.
SKU74,Shipment on schedule but defect rate (0.4%) worth monitoring next cycle.
SKU75,Supplier Supplier 1 within tolerance; minor variance in lead time (20 days).
SKU76,Supplier Supplier 2 within tolerance; minor variance in lead time (1 days).
SKU77,Carrier Carrier B performing near SLA on route Route B; watch stock levels.
SKU78,Carrier Carrier B performing near SLA on route Route C; watch stock levels.
SKU79,Supplier Supplier 3 within tolerance; minor variance in lead time (25 days).
SKU80,Carrier Carrier C performing near SLA on route Route B; watch stock levels.
SKU81,Supplier Supplier 3 within tolerance; minor variance in lead time (6 days).
SKU82,Shipment on schedule but defect rate (4.1%) worth monitoring next cycle.
SKU83,Supplier Supplier 1 within tolerance; minor variance in lead time (24 days).
SKU84,Supplier Supplier 5 within tolerance; minor variance in lead time (26 days).
SKU85,Inspection result Fail for SKU SKU85; no corrective action required yet.
SKU86,Supplier Supplier 1 within tolerance; minor variance in lead time (14 days).
SKU87,Supplier Supplier 3 reported delays; lead time stretched to 7 days on route Route B.
SKU88,Inspection result Pending for SKU SKU88; no corrective action required yet.
SKU89,Carrier Carrier B performing near SLA on route Route B; watch stock levels.
SKU90,Inspection result Pass for SKU SKU90; no corrective action required yet.
SKU91,Shipment on schedule but defect rate (0.6%) worth monitoring next cycle.
SKU92,"Stock levels healthy, lead time steady at 25 days on route Route B."
SKU93,Shipment on schedule but defect rate (4.2%) worth monitoring next cycle.
SKU94,Carrier Carrier B performing near SLA on route Route B; watch stock levels.
SKU95,Inspection result Pending for SKU SKU95; no corrective action required yet.
SKU96,Inspection result Pending for SKU SKU96; no corrective action required yet.
SKU97,"Recurrent quality escalations from Mumbai facility, inspection result: Fail."
SKU98,Shipment on schedule but defect rate (2.9%) worth monitoring next cycle.
SKU99,Inspection result Fail for SKU SKU99; no corrective action required yet.
